id,name,height,weight,hometown,signature_move,career_highlights,img_url,title,brand_id
1,"Big E",5’11”,285,"Tampa, Fla.","Big Ending; Midnight Hour","WWE Champion; Mr. Money in the Bank; Intercontinental Champion; Raw Tag Team Champion; SmackDown Tag Team Champion; WWE Tag Team Champion; NXT Champion",https://www.wwe.com/f/styles/talent_champion_xl/public/all/2022/02/Big_E_Profile--ac839d080afcadad4764eb2a660246c9.png,,1
2,"Cody Rhodes",6’2”,220,"Atlanta, Georgia","Cross Rhodes; Cody Cutter; Beautiful Disaster","WWE Champion; Universal Champion; Intercontinental Champion; World Tag Team Champion; WWE Tag Team Champion; Raw Tag Team Champion; SmackDown Tag Team Champion; 2023 and 2024 Royal Rumble Match winner",https://www.wwe.com/f/styles/talent_champion_xl/public/all/2024/04/Cody_DSC09356_titlefake_Profile--427bfacee877b045aafb233a6f945f64.png,"WWE Championship",2
3,"Damian Priest",6’5”,249,"New York, N.Y.","Reckoning; South of Heaven; Broken Arrow","World Heavyweight Champion; Señor Money in the Bank; Undisputed WWE Tag Team Champion; United States Champion; NXT North American Champion",https://www.wwe.com/f/styles/talent_champion_xl/public/all/2024/04/Damian_04072024hm_058_Profile--a8cf54a8dee40afbcbc98d9c48347b10.png,"World Heavyweight Championship",1
4,"Liv Morgan",5’3”,,"Elmwood Park, N.J.",Oblivion,"SmackDown Women's Champion; WWE Women's Tag Team Champion; 2022 Women's Money in the Bank Ladder Match winner",https://www.wwe.com/f/styles/talent_champion_xl/public/all/2024/06/LIV_05132024ca_023_Title_Profile--530195974e3839e08bdb34e41adbaed5.png,"Women's World Championship",1
5,"Adam Cole",6’0”,200,"Panama City, Fla.","Last Shot; Panama Sunrise","NXT Champion; North American Champion; NXT Tag Team Champion; 2019 NXT Overall Competitor of the Year; 2019 NXT Male Competitor of the Year; 2018 Dusty Rhodes Tag Team Classic Winner",https://www.wwe.com/f/styles/talent_champion_xl/public/all/2021/04/COLE_03122021CA_11622_Profile--24a4d3068b76c9e88b9af8f2ea71d5c1.png,,4
6,"Ilja Dragunov",5’10”,210,"Moscow, Russia","Constantine Special, Torpedo Moscow, Russian Suplex","NXT Champion; NXT UK Champion",https://www.wwe.com/f/styles/talent_champion_xl/public/all/2024/04/ILJADRAGUNOV_02132024ej_01463_Profile--9a68a623c765978e952ecdca8f71afcd.png,,1
7,"The Miz",6’2”,221,"Hollywood, Calif.","Skull-Crushing Finale; Figure-Four Leglock; "It" Kicks","WWE Champion; Intercontinental Champion; United States Champion; Raw Tag Team Champion; SmackDown Tag Team Champion; WWE Tag Team Champion; World Tag Team Champion; Unified Tag Team Champion; Money in the Bank Ladder Match winner; A two-time Grand Slam Champion and is the first Superstar to complete the Grand Slam cycle twice; Mixed Match Challenge Season 1 winner",https://www.wwe.com/f/styles/talent_champion_xl/public/all/2018/05/The_Miz_pro--f4e98cf4a7d4acc8e418ddf0f949e95e.png,,1
8,"Bianca Belair",5’7”,,"Knoxville, Tenn.",K.O.D.,"WWE Women's Champion; Raw Women's Champion; SmackDown Women's Champion; 2021 Royal Rumble Match winner; WWE Women's Tag Team Champion",https://www.wwe.com/f/styles/talent_champion_xl/public/all/2024/03/BiancaBelair_01282024RF_1159_Profile--f32b01959da5065b6d2b2b9887792b92.png,,2
9,"Seth "Freakin" Rollins",6’1”,225,"Davenport, Iowa",Stomp,"First-ever World Heavyweight Champion; Universal Champion; WWE Champion; United States Champion; Intercontinental Champion; WWE Tag Team Champion; Raw Tag Team Champion; NXT Champion; 2019 Royal Rumble Match winner; 2014 Men's Money in the Bank Ladder Match winner; 2015 Superstar of the Year Slammy Award winner",https://www.wwe.com/f/styles/talent_champion_xl/public/all/2024/04/Seth-Rollins_01282024RF_04450_Profile--a5d406bf9b4431355cb37805c9c9ebbe.png,,1
10,"Randy Orton",6’5”,250,"St. Louis",RKO,"First-ever WWE World Heavyweight Champion; WWE Champion; World Heavyweight Champion; Intercontinental Champion; United States Champion; Raw Tag Team Champion, SmackDown Tag Team Champion; World Tag Team Champion; 2009 and 2017 Royal Rumble Match winner; 2013 Money in the Bank Ladder Match winner",https://www.wwe.com/f/styles/talent_champion_xl/public/all/2024/03/Randy_Orton_11272023rf_071_Profile--9f48e983c9e721c0a5659fc639f1c14a.png,,2
